age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,poutcome,deposit
65,retired,divorced,secondary,no,744,no,no,cellular,5,jul,182,1,-1,unknown,no
38,blue-collar,married,secondary,no,1627,no,no,unknown,16,jun,1323,9,-1,unknown,yes
35,blue-collar,single,secondary,no,4963,yes,no,cellular,14,may,456,1,300,failure,yes
47,blue-collar,married,secondary,no,8229,no,no,cellular,8,aug,784,2,-1,unknown,yes
35,technician,married,tertiary,no,1473,yes,no,unknown,12,may,84,3,-1,unknown,no
30,management,single,tertiary,no,119,no,no,cellular,28,jan,430,1,-1,unknown,no
47,admin.,married,secondary,no,3434,yes,yes,telephone,9,jul,337,1,-1,unknown,no
56,blue-collar,married,secondary,no,771,yes,yes,unknown,19,jun,254,1,-1,unknown,no
35,self-employed,divorced,secondary,no,3443,no,no,cellular,30,jul,409,4,-1,unknown,no
26,student,single,tertiary,no,10086,no,no,cellular,8,jul,475,3,78,success,no
55,technician,married,secondary,no,0,no,no,cellular,27,jul,506,2,-1,unknown,no
49,management,married,tertiary,no,20,yes,no,cellular,4,feb,117,1,-1,unknown,no
26,technician,single,secondary,no,507,no,no,cellular,30,apr,380,1,-1,unknown,yes
46,blue-collar,divorced,primary,no,219,yes,no,cellular,21,nov,729,1,-1,unknown,yes
27,admin.,single,secondary,no,4745,no,no,telephone,12,nov,411,4,192,other,yes
35,management,married,secondary,no,97,yes,no,unknown,29,may,135,4,-1,unknown,no
29,admin.,single,secondary,no,464,no,no,cellular,9,nov,208,2,91,success,yes
29,technician,single,secondary,no,113,no,no,cellular,12,feb,328,2,183,success,yes
56,admin.,married,secondary,no,5310,no,no,unknown,19,jun,74,1,-1,unknown,no
37,admin.,married,secondary,no,1049,no,no,cellular,31,jul,126,5,-1,unknown,no
27,technician,single,secondary,no,204,no,no,cellular,28,jul,471,2,-1,unknown,yes
22,student,single,secondary,no,254,no,no,cellular,13,jan,143,2,-1,unknown,yes
43,technician,single,secondary,no,593,yes,no,unknown,5,may,55,1,-1,unknown,no
27,student,single,secondary,no,2614,no,no,cellular,8,apr,143,2,-1,unknown,yes
43,technician,married,secondary,no,0,no,yes,cellular,8,may,9,2,172,failure,no
53,blue-collar,married,secondary,yes,-634,no,no,cellular,19,aug,695,3,-1,unknown,no
28,management,single,tertiary,no,9314,no,no,cellular,2,jul,276,2,-1,unknown,yes
47,admin.,married,secondary,no,1387,yes,no,cellular,14,oct,158,1,826,failure,no
38,management,married,tertiary,no,613,no,no,cellular,30,apr,242,1,86,success,yes
57,blue-collar,married,unknown,no,3196,no,no,cellular,28,aug,161,4,-1,unknown,no
35,blue-collar,married,primary,no,102,yes,no,unknown,20,may,1334,1,-1,unknown,yes
34,blue-collar,single,secondary,no,550,yes,no,cellular,20,apr,90,3,346,failure,no
28,technician,single,secondary,no,250,no,yes,cellular,29,jan,133,1,-1,unknown,no
39,entrepreneur,married,secondary,no,11887,no,no,cellular,18,nov,1181,2,-1,unknown,yes
31,management,single,tertiary,no,2016,no,no,cellular,30,apr,209,1,-1,unknown,yes
26,entrepreneur,married,tertiary,yes,144,no,yes,cellular,25,jul,730,1,-1,unknown,no
31,blue-collar,married,secondary,no,671,yes,no,unknown,18,jun,704,4,-1,unknown,yes
33,management,single,tertiary,no,1304,yes,no,cellular,18,may,536,2,-1,unknown,yes
28,services,single,secondary,no,1636,yes,no,cellular,18,may,97,1,355,failure,no
23,technician,single,secondary,no,598,no,no,cellular,11,nov,406,1,195,failure,yes
87,retired,married,primary,no,230,no,no,cellular,30,oct,144,1,-1,unknown,yes
27,admin.,married,secondary,no,1595,no,no,cellular,29,dec,196,2,197,success,yes
33,services,married,secondary,no,1697,no,no,cellular,4,may,489,1,182,success,yes
44,technician,married,secondary,no,7649,no,no,cellular,20,aug,188,6,-1,unknown,no
32,blue-collar,single,primary,no,1426,yes,no,cellular,20,nov,114,1,-1,unknown,no
28,admin.,single,tertiary,no,832,no,no,telephone,29,mar,433,3,342,failure,yes
32,services,married,secondary,no,3839,yes,no,cellular,18,nov,100,2,189,failure,no
45,technician,divorced,unknown,yes,-25,no,yes,unknown,3,jul,158,3,-1,unknown,no
34,housemaid,married,secondary,no,390,yes,no,cellular,15,jul,659,3,-1,unknown,no
43,blue-collar,married,primary,no,-181,yes,no,cellular,17,apr,351,1,337,failure,no
32,technician,single,tertiary,no,723,no,no,cellular,28,aug,68,27,-1,unknown,no
59,technician,married,secondary,no,316,no,no,cellular,14,aug,200,4,-1,unknown,no
42,admin.,married,secondary,no,445,yes,no,unknown,7,may,202,2,-1,unknown,no
27,management,single,secondary,no,178,yes,no,unknown,3,jun,732,2,-1,unknown,yes
26,blue-collar,married,secondary,no,2770,yes,no,unknown,8,may,141,1,-1,unknown,no
29,blue-collar,single,secondary,no,322,no,no,unknown,14,jun,434,1,96,other,yes
29,management,single,tertiary,no,92,no,no,cellular,2,jun,101,1,92,success,no
32,management,married,tertiary,no,1270,no,no,cellular,19,aug,232,3,-1,unknown,yes
33,management,married,tertiary,no,728,yes,no,cellular,13,aug,275,5,-1,unknown,no
38,technician,single,secondary,no,-242,yes,no,cellular,18,may,1173,3,278,success,yes
31,services,married,secondary,no,447,no,no,cellular,4,jun,327,3,77,success,yes
41,blue-collar,single,primary,no,0,yes,no,unknown,16,may,522,5,-1,unknown,no
34,admin.,divorced,secondary,no,627,yes,no,unknown,7,may,283,2,-1,unknown,no
25,unemployed,single,primary,no,129,no,no,cellular,12,apr,176,3,-1,unknown,yes
53,management,married,tertiary,no,583,no,no,cellular,17,nov,226,1,184,success,yes
54,management,married,unknown,no,24,no,no,cellular,31,jul,12,10,-1,unknown,no
24,admin.,single,tertiary,no,0,yes,no,cellular,27,may,122,2,-1,unknown,yes
80,retired,married,secondary,no,8304,no,no,telephone,8,sep,606,3,91,success,yes
25,admin.,single,secondary,no,82,no,yes,cellular,7,apr,104,2,-1,unknown,yes
41,technician,single,unknown,no,356,yes,no,unknown,13,may,93,2,-1,unknown,no
29,blue-collar,married,secondary,no,246,yes,no,cellular,28,jul,194,5,-1,unknown,no
25,technician,single,secondary,no,1298,no,no,cellular,2,sep,206,7,94,other,no
55,management,married,primary,no,19,yes,no,unknown,16,may,56,3,-1,unknown,no
48,blue-collar,married,primary,no,214,yes,yes,cellular,18,nov,246,1,162,failure,no
56,blue-collar,married,primary,no,3498,no,no,cellular,15,apr,264,2,-1,unknown,yes
